PRODUCT CODE,PRODUCT NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
HC830HSUAB05,HC830HSUAB05,2687,2201,1364,1580,2066,2507,3803,1958,2606,2120,1688,2957
HC831HQFAB03,HC831HQFAB03,15143,10567,12500,11885,10031,14171,11500,9716,11975,11309,13433,13019
HC831HSUAB06,HC831HSUAB06,2636,2074,1129,1534,1871,2681,3424,2839,2546,2119,1556,2996
